Unnamed: 0,id,scene,subject,script,intention
334,NSV0N,Recreation room / Man cave,QB52,A person runs into the recreation room and sits down at a desk. The person pulls out their camera and starts taking pictures.,taking
335,RIE30,Living room,PO5L,Person is grasping a picture. Person starts laughing. Person then starts drinking coffee.,laughing
336,QNXGG,Recreation room / Man cave,54JK,A person is undressing near a shelf. Then they begin pouring medicine into a cup.,pouring
337,U4FR1,Entryway (A hall that is generally located at the entrance of a house),EXQX,A person opens the door and turns on the light. They then begin tidying the closet with their broom.,tidying
340,HG8G1,Dining room,T7C3,A person is lying in the dining room floor eating a sandwich that is placed in a dish.  Then the person starts smiling randomly.,smiling
342,A42FN,Pantry,4OHY,"A person is seen eating a chip and looking at a picture. They pick up a broom and begin putting it away in a cabinet, and then close it.",putting
343,FMXZS,Kitchen,T7C3,"A person  stands in front of an open refrigerator unloading a bag of groceries.  They then take a beverage out, close the refrigerator and begin drinking.",drinking
344,LP1F3,Home Office / Study (A room in a house used for work),XXN8,"A person sitting at their desk begins sneezing uncontrollably. Person blows their nose with a towel and reaches for the doorknob, to leave.",sneezing
347,4YL07,Living room,R1OT,A person is working on hanging up a picture above a desk. The stop working end begin pouring a glass of water to drink.,pouring
349,22A2G,Kitchen,D0RU,A person is sitting on a chair reading a book. They begin sneezing as they close the book.,sneezing
351,ZS9XR,Living room,Z68L,"A person is eating food out of a bag and then stands, grasps a towel, and starts tidying up the room",tidying
352,NQ1V6,Bathroom,R1OT,A person stands at the toilet watching the phone.  The person feels their shoes get wet and starts undressing to change clothes.,undressing
354,GQ4PM,Basement (A room below the ground floor),HJJ4,A person standing next to a cabinet begins smiling while holding a picture.,smiling
356,5J9HP,Pantry,KFGP,"In the pantry is a sink and a cabinet. The person runs into the room, gets medicine from the cabinet and begins eating it.",eating
357,0KISF,Stairs,YMXV,"A person is closing a door. The person begins laughing and then starts sitting on the stairs, folding a towel.",sitting
358,S6RYI,Laundry room,3H6W,"One person grasps some dishes and groceries, then sneezes and starts drinking.",drinking
359,8ISS6,Bedroom,ZFCJ,A person is dressing in front of the door. Then the person starts holding a pillow.,holding
361,561H5,Bedroom,5LWB,"A person is walking into the room, holding a towel. The person sits down and begins watching TV, eating a sandwich as the person does so.",watching
362,CVPFH,Bathroom,0KZ7,A person is working on the light in a bathroom then starts undressing and putting their clothes on a shelf.,undressing
363,E1TUD,Bathroom,2RTW,"A person is undressing in the bathroom. The person turns off a television, begins dressing again, then grabs their homework and leaves.",dressing
364,GWDF9,Entryway (A hall that is generally located at the entrance of a house),9PLL,Person comes running through the front door. They turn on the light and begin tidying the area.,tidying
365,05GIA,Bathroom,WG9D,"A person is seen opening a cabinet and sneezing. They begin looking for some medicine but pull out a towel, lying it on the counter.",looking
366,ZCULX,Home Office / Study (A room in a house used for work),HJJ4,"A person is drinking water and eating a sandwich, then the person starts smiling tries to read a book.",smiling
367,UVMZ8,Laundry room,ZAWX,A person turns on the light while playing on their phone. The person then starts drinking something from a cup.,drinking
369,5TLQE,Laundry room,HR43,"A person is seen snuggling with a book. They begin smiling and start to close the book, to find some food.",smiling
370,M1FNW,Living room,FNK4,A person is grasping their phone. The person starts playing on their laptop.,playing
371,HJ8U7,Bedroom,YMXV,A person is dressing in the entryway and there is a pillow on the floor.  The same person then starts drinking a glass of water while looking at the picture on the wall.,drinking
372,CXGSD,Hallway,ENC8,"One person stands up and throws a pillow toward the doorway, sneezes, then starts tidying up stray clothes.",tidying
374,ENT4H,Living room,L4ZP,A person takes a seat by a desk and begins working on a laptop.,working
375,QCIV0,Stairs,HJJ4,"A person is sitting by the stairs eating some food. They begin dressing by putting a jacket on, and then they look up and turn on the light.",dressing
376,O6DZ0,Bedroom,0KZ7,"A person is tidying the mirror with a towel, and then starts playing air guitar, whipping the towel around.",playing
377,ML12Q,Living room,XXN8,A person is playing video games on the television while sitting on the sofa. The person begins laughing.,laughing
378,R4ENI,Laundry room,DBGJ,A person is holding a laptop and looks out the window. They sit down in a chair and begin drinking water and eating a sandwich.,drinking
379,DYGB7,Bedroom,YMXV,A person is in their living room sitting on a pillow and doing their homework. The person sneezes and starts tidying up.,tidying
380,M0AS3,Bedroom,H8N1,"A person is grasping their medicine tightly, they begin drinking it while looking out the window.",drinking
381,1NT8P,Bathroom,XXN8,A person is tidying up a desk when they come across a picture and begin laughing.  The person then moves to a mirror and checks themselves out.,laughing
382,CPH1Y,Kitchen,WQ8Z,A person takes something out of refrigerator and starts drinking it. Then they start laughing before they turn off the light.,drinking
383,I3Q65,Garage,FNK4,A person is smiling as they use a broom to clean the floor of a garage. The person sits down and starts putting boxes on a shelf.,putting
385,TPJJJ,Living room,XJUN,A person is lying on the sofa in the living room. The person takes their phone from their pocket and begins playing with it.,playing
386,472EJ,Dining room,H8N1,A person is seen eating while next to a window. They get up and begin throwing food back into the fridge.,throwing
387,ZWDVG,Bedroom,BYF9,"One person throws a bag down on a small table before grasping a vacuum, awakening another person who starts sneezing.",sneezing
388,6KUUU,Laundry room,25TD,A person is dressing in the laundry room by putting on their shoes. The person then grabs a sandwich from the table and starts eating it.,eating
390,5A3FT,Living room,UO0Z,"A person is sitting at their desk doing homework. A person begins undressing, lying on the sofa when the person finishes.",undressing
392,1FGXJ,Kitchen,4OHY,A person eating food in the kitchen begins throwing coffee on the ground.,throwing
393,7L7P4,Home Office / Study (A room in a house used for work),P6LJ,A person is putting a camera on a desk. Then the person starts laughing and grasping their knees.,laughing
394,3HUXR,Bedroom,T7C3,"A person is seen snuggling up while watching television. They begin opening a bag and take out food to eat, then turn off the light.",opening
395,E06A2,Laundry room,3H6W,"A person sets a pair of shoes down next to the laundry machine and then begins sneezing.  Finally, they pick up a camera and stand next to the door.",sneezing
397,LK3LF,Living room,BYF9,A person is in their living room watching a video on their laptop. They begin drinking some water while taking a pillow and placing it on the floor.,drinking
398,IZSPN,Bedroom,ZAWX,A person is opening a cabinet in their home office. They begin watching some video on their phone while tying their shoes.,watching
400,61KCY,Bathroom,37UI,"A person is dressing, putting on on their clothes in the bathroom.  Then a person starts sneezing and picks up a box of tissues.",sneezing
402,PNAXO,Dining room,UTMU,A person is sitting at a dining table next to a window. Before them on the table is a sandwich. The person smiles and then grasps the sandwich to begin eating it.,eating
403,1G2QC,Dining room,3531,"A person in the dining room is dressing by putting a jacket on. They begin drinking from a glass of water. Afterwards, they take a towel and wrap it around their phone.",drinking
406,RVLXD,Garage,HJJ4,A person is dressing then begins tidying a cabinet before turning the doorknob to leave.,tidying
408,AKNRA,Living room,PO5L,A person is sitting near the window. Then the person grabs a blanket and starts snuggling it.,snuggling
409,Q3HZI,Living room,9Y7F,"A person is taking a pillow from the sofa. Then, standing, the person begins opening the door to grab a bag of groceries.",opening
410,7D6RR,Kitchen,P6LJ,A person is laughing while looking out the window. The person then starts walking towards the shelf to grab some spices.,walking
411,BE51K,Bedroom,YMXV,A person is standing and looking out the window. Then the person puts down their bag of groceries and begins tidying the stairwell.,tidying
412,YFBA1,Recreation room / Man cave,R1OT,A person runs into the recreation room through the doorway and grabs a book. The person opens the book and begins reading.,reading
413,TVTV7,Dining room,1TZV,"A person is snuggling with a table, then the person starts standing up and begins to vacuum.",standing
414,QNHM7,Garage,ID9V,"Person is running to get coffee from shelf, then starts smiling and puts cup of coffee on table.",smiling
415,YPUYO,Bedroom,6RE8,"A person smiles as they take a book from the cabinet. The person reads something, then begins laughing.",laughing
416,6VUKN,Home Office / Study (A room in a house used for work),D0RU,A person is drinking soda at their desk. Then the person stands and begins walking to the doorway.,walking
417,I6UIG,Kitchen,9PLL,A person is playing on their laptop. then the person begins throwing food towards the door.,throwing
418,M3KS7,Bathroom,BYF9,"One person sits in a chair, closes a book and watches as another person runs in and starts tidying up.",tidying
419,CG5KY,Bedroom,Z68L,A person is lying down on their bed in their bedroom. They begin taking out their phone and placing it on the desk in the room.,taking
420,DLKWO,Kitchen,UD06,A person is grasping the latch to a window then starts cooking on the stove.,cooking
421,C5LCU,Home Office / Study (A room in a house used for work),6RE8,"A person in a home office opens a cabinet and grabs their laptop, they open their laptop and starts watching movies.",watching
422,34J80,Living room,KQI6,A person is drinking coffee. The person begins putting food into the cabinet.,putting
423,AJRIJ,Living room,T7C3,A person snuggling with a pillow begins watching the doorway.,watching
424,FPXL7,Living room,JVLO,Person is grabs doorknob from shelf and starts laughing while throwing at book shelf.,laughing
425,TOOYI,Closet / Walk-in closet / Spear closet,25TD,A person is seen lying towels inside a box. The person begins smiling as they put the box on a shelf,smiling
428,I5L3Y,Laundry room,C7O9,A person is drinking coffee in a laundry room.  The door starts opening. Another person walks in holding a laptop.  The person puts the laptop down and then starts working with the first person folding laundry.,opening
429,PV745,Kitchen,P6LJ,"A person is sitting in the pantry, going through a box of groceries. The person begins dressing, puts on their shoes, and leaves.",dressing
430,2P6ZP,Bedroom,ZAWX,"One person puts a phone back on a table with a camera already on it, then starts eating a snack.",eating
433,PEY34,Living room,HJJ4,"A person begins laughing after drinking some water, then puts a box and a broom on a shelf.",laughing
434,7RI1Y,Living room,4OHY,One person grasps a box and starts tidying the area around a table and wardrobe.,tidying
435,DIEEO,Pantry,ZAWX,A person in the pantry is drinking a glass of water. They begin laughing because their shoes are missing one of the pair.,laughing
436,M52K2,Laundry room,3H6W,A person sitting on the floor in their laundry begins pouring a beverage from its original container into a glass.  They put the glass on a desk and pick up a bag with a blanket in it.  They play with the bag by swinging it around their head like a helicopter blade.,pouring
437,SPDLO,Pantry,T7C3,A person opens the pantry and begins putting their food in the pantry. The person finishes and puts their dishes in the cabinet.,putting
438,9GQRI,Kitchen,T7C3,A person cooking on the stove begins sneezing.  Then they begin tidying up the refrigerator.,sneezing
439,0H5VC,Living room,D0RU,A person is sitting on the sofa. The person pushes their homework aside and begins snuggling into their blanket.,snuggling
441,3G4PN,Bedroom,HR43,A smiling person walks into their bedroom and starts playing a game on their phone while sitting on their bed. They grab a bag and leave.,playing
442,FHXKQ,Dining room,70CN,"A person walks into the bathroom and begins washing their hands after  lying their phone down, on the edge of the sink.",washing
443,JXS3A,Living room,CO1W,A person throws some food on a table then starts playing with a camera.,playing
444,9REZ6,Laundry room,PO5L,A person is putting medicine in a pantry then starts washing their shoes.,washing
445,KNX2Y,Kitchen,HJJ4,"A person in the kitchen, playing with a camera, they begin laughing holding food.",laughing
446,MJZJM,Other,PKND,A person turns on the light and begins undressing. Another person is sitting with a book in their hand.,undressing
447,A80GG,Living room,YA10,A person is cleaning their sofa with a vacuum. The person starts taking the cushions off of the sofa and throws them on the floor.,taking
449,2L6E2,Kitchen,UO0Z,"A person is standing in the doorway holding some groceries. Then, laughing, the person walks to the refrigerator and begins opening it to put them away.",opening
450,OQSPB,Stairs,BYF9,A person on the stairs holding a plate of food and a laptop. The person puts everything down and starts tidying up the stairs before leaving the house.,tidying
451,BUL4V,Living room,ZAWX,A person is working on a book at a desk. The person begins looking out the window. The person closes the window blinds and returns to work.,looking
452,HEV65,Stairs,ZAWX,A person is running up the stairs with some clothes. The person opens a cabinet and begins putting clothes inside.,putting
453,94YTY,Entryway (A hall that is generally located at the entrance of a house),PO5L,A person walking into their entry way after opening their front door begins undressing. They sneeze from the chill and look in a mirror to see if they've mussed their hair.  They dump their clothes on a nearby cabinet and leave the entry way.,undressing
454,HONL7,Entryway (A hall that is generally located at the entrance of a house),9PLL,One person lying near the doorway throws down a book and starts playing games on a laptop.,playing
455,WBT2F,Living room,LTAC,"One person puts a towel in a cabinet, closes it, then starts drinking coffee.",drinking
456,PGKB4,Bedroom,ZAWX,"A person runs into their recreation room, eating a sandwich. The person quickly opens their laptop and begins typing.",typing
457,OOBMP,Living room,ZSRZ,A person standing in the doorway of the living room. They are holding a glass. They begin pouring the contents of the glass out on the floor.,pouring
459,50TLF,Hallway,PO5L,"While standing in the room, one person takes a bottle of medicine from a box, drinks it and starts laughing.",laughing
460,VLX0E,Stairs,3VLX,A person is seen holding a phone and looking at it. They begin laughing at a picture that they see.,laughing
461,1UNXY,Hallway,L4ZP,Person walks down hallway while popping medicine in mouth and drinking a glass of water.  Person then stops in the hallway and straightens picture on the wall.  Person then starts tidying of the floor in the hallway by picking up clothes from the floor.,tidying
462,IZTHW,Stairs,9Y7F,"A person picks up a towel and a broom off the stairs, and begins tidying up by setting them aside. They sit down and look at their phone, laughing at what is on the screen",tidying
463,DQGYG,Kitchen,HR43,A person is sitting in a chair smiling. The person stands up and goes to the cabinet and then begins making a sandwich.,making
464,CSHUE,Kitchen,HJJ4,"A person cooking in the kitchen sneezes into the crook of their arm.  They begin putting a blanket into their refrigerator, when they realize what they are doing, and put away something that actually goes into the refrigerator instead.",putting
465,FU5NY,Living room,3VLX,"A person carries a cardboard box over to the window in the living room, and sets it down on the floor.  They turn and walk away, leaving the box there by the window.  Walking away, they turn for just a moment, and looking back at the box they suddenly begin laughing.  After a few seconds of strange laughter, they continue to exit the living room.",laughing
466,M2F66,Laundry room,DXDI,"One person walks in, starts washing a load of clothes, tidies up a bit, then leaves with a book.",washing
467,HL9YR,Stairs,T7C3,A person is sitting on the stairs working on their laptop while taking off their shoes. The person starts laughing then closes the laptop.,laughing
468,XXMN1,Kitchen,9Y7F,Person standing by pantry and holding box of groceries looks at another person and starts laughing.,laughing
469,MV37M,Kitchen,BYF9,A person in the kitchen is eating some groceries. They begin throwing some clothes on the floor while laughing at how silly they seem.,throwing
470,T1XP2,Home Office / Study (A room in a house used for work),D0RU,"Person 1 is standing in the middle of the study, arms folded, laughing at the television. Person 1 then walks to the door and begins sneezing.",sneezing
471,03M0K,Bedroom,L4ZP,A person is dressing while their clothes lay on the chair in front of her. Then the person opens their laptop and begins playing on it.,playing
472,Q5Y02,Bedroom,4I61,"A person walks through the doorway into their bedroom. They put down a glass they were drinking from, and begin undressing. They start laughing at something they see through their window.",undressing
473,55NNF,Kitchen,PO5L,"A person is cooking, then begins opening a refrigerator and grabs a sandwich.",opening
474,MOKPE,Bathroom,D0RU,A person is putting medicine into a box under the window. The person begins pouring the medicine into a cup.,pouring
475,XAOUP,Living room,D0RU,"Closing the door, a person begins walking to the table. The person picks up the phone and sits in the chair as the person begins to dial.",walking
476,F0PNU,Stairs,BYF9,"Person is standing on stairs and looking at groceries that are on table, then person starts sneezing.",sneezing
477,XQDQ4,Home Office / Study (A room in a house used for work),YMXV,"A person is seen watching out the window, the person then begins drinking some water and looking in a box",drinking
479,CBXI2,Bedroom,QB52,"Person is lying in bed sleeping, then starts awakening due to loud noise from vacuum cleaner.",awakening
480,ARESU,Recreation room / Man cave,ZAWX,"One person is drinking at a table as another person puts some groceries on the table, then starts washing it.",washing
481,NSDFA,Recreation room / Man cave,1OHU,A person in their recreation room is running around with a box in their hand. They begin playing with their phone and then use it to take a picture of a bag lying on the ground.,playing
482,4CAAH,Kitchen,HJJ4,"Person gets yogurt from refrigerator then starts eating it, after done eating person puts dishes in sink and starts laughing.",eating
483,8NGDR,Living room,2RTW,A person awakening from a nap on a sofa while holding a pillow walks over to the remote control.  Grasping the remote control the person turns on the television and starts watching a television program.,watching
485,XKPLB,Bathroom,KFGP,Person puts dishes in sink then starts running while leaving bathroom.,running
486,QC4R2,Stairs,T7C3,"A person is standing in the hallway, holding a pair of shoes and a picture.  The same person then puts the picture on the floor and starts laughing.",laughing
488,01KML,Hallway,P3TI,A person is laughing while using the vacuum cleaner in the hallway.  Then the person begins watching their laptop intently.,watching
489,T8V10,Home Office / Study (A room in a house used for work),Z68L,"A person standing in the middle of an office begins undressing, leaving the discarded garments on the pillow of a couch. They pick up a cup, drinking deeply from it, and then take it and dirty dishes with them as they leave room.",undressing
490,7POUA,Living room,FNK4,A person is snuggling with a book in a living room then starts playing with a mirror.,playing
491,X1KKZ,Living room,P6LJ,"A person throws a pillow onto the sofa, then runs to the window. The person begins watching something out the window.",watching
492,7HQLV,Kitchen,UEYI,A person is standing by the stove holding a cup of coffee. The person sets it on the table and begins unpacking their groceries.,unpacking
494,3EIRZ,Laundry room,0KZ7,A person turns on a light while eating a sandwich.  They then begin tidying up the room.,tidying
496,UZDEE,Kitchen,XXN8,"A person is walking to the refrigerator. Then, standing and smiling, the person begins throwing fruit from the refrigerator onto their desk.",throwing
497,VOAAZ,Laundry room,3H6W,A person is seen pouring water from the sink. They begin dressing by taking clothes out of their bag. They then start watching something on their phone.,dressing
499,5XKVP,Home Office / Study (A room in a house used for work),HJJ4,"A person is sitting at the desk. In front of them are a blanket, shoes, and a book. They get up and begin throwing objects into the corner of the room.",throwing
500,E546V,Bathroom,L4ZP,"A person is playing with a light switch, then the person starts laughing and walks out the door.",laughing
501,00NN7,Pantry,ZAWX,A person puts some groceries away onto the shelf. The person begins playing with their laptop and closes the door.,playing
502,F0ZPW,Closet / Walk-in closet / Spear closet,UTMU,A person holding a blanket eating a candy bar begins drinking from a glass and then washing a vacuum.,drinking
503,06II2,Living room,3H6W,"A person is holding a blanket on the sofa, then the person gets up and starts walking.",walking
504,81YUE,Bedroom,ZAWX,Person enters the bedroom and lays on the bed and starts watching television.  Person then begins undressing and places the robe on the table next to the bed.,watching
505,0W4F6,Living room,9Y7F,"A person runs down the hallway, and sits at a table at the end. The person opens their laptop and begins playing on it. Another person stands in the doorway and watches.",playing
506,D87LI,Living room,2RTW,"One person opens a laptop and starts playing, then closes it to use the phone.",playing
507,CP3Q6,Kitchen,1OHU,A person awakens in their kitchen holding a pile of clothes. They begin cooking on the stove.,cooking
508,M8NEU,Laundry room,6RE8,A person runs into their bedroom and starts tidying up. They grab a blanket and open the door.,tidying
509,4JH6O,Entryway (A hall that is generally located at the entrance of a house),3531,Running into the entryway with a blanket the person begins cooking in front of the mirror.,cooking
510,6CMWO,Closet / Walk-in closet / Spear closet,XXN8,A person is undressing and looking at clothes in their closet. The person then notices a vacuum in their closer and starts laughing.,laughing
511,6XGUE,Entryway (A hall that is generally located at the entrance of a house),9PLL,"One person eats a sandwich and opens a laptop, then starts playing games on it while propped on a pillow.",playing
512,KSDFR,Bedroom,0KZ7,One person with hair in a towel starts dressing in front of a mirror. Then this person pours something in a glass and drinks it.,dressing
513,W5GEK,Kitchen,9PLL,A person walks through a door to the kitchen to turn the light on. The same person then approaches the sink and starts running the water.,running
514,78N0Z,Home Office / Study (A room in a house used for work),IK1O,"Person is lying on chair doing homework, then starts eating bag of chips.",eating
515,I5U4Q,Bedroom,1OHU,A person sets the camera on the wardrobe while another person holding their head begins sneezing.,sneezing
516,7GPSY,Kitchen,LTAC,Person walks into the kitchen and takes a sandwich off the towel and begins eating.  Shortly thereafter Person sneezes and drops the phone that was in hand.,eating
517,B0LK0,Pantry,T7C3,"A person is putting away groceries. They begin undressing, then look confused. They grab a glass from the shelf, get dressed, and leave.",undressing
518,3OUXT,Kitchen,P6LJ,"A person is sitting at a desk in their laundry room. The person takes a notepad from a nearby cabinet, and begins scribbling something down.",scribbling
519,K3IGM,Bathroom,9PLL,"One person wrapped in a towel puts the towel on a shelf and starts dressing, then puts on a pair of shoes and sneezes.",dressing
520,038WZ,Pantry,WQ8Z,A person running toward the cabinet then begins opening the door by grabbing the doorknob.,opening
521,H7LQM,Closet / Walk-in closet / Spear closet,UTMU,A person is holding clothes in front of a closet door.  The person places the clothes to the side and begins tidying up the closet so that the clothes can be put away.,tidying
522,EUMRR,Bathroom,UTMU,"A person is washing their hands in the bathroom. After that, they begin sitting down while drinking some coffee and placing a pillow on top of the counter.",sitting
523,JUF24,Kitchen,3VLX,"A person stands at the stove, cooking. The person takes some groceries out of a bag and begins adding them to their pot.",adding
524,SGAGB,Bedroom,WQ8Z,A person in their bedroom is snuggling up with a pillow. They begin dressing by grabbing a jacket from their wardrobe and putting their clothes on.,dressing
525,W6GTP,Stairs,3531,A person grasping a camera and holding a pillow starts walking up the stairs.,walking
527,Y5PF5,Kitchen,D0RU,A person takes a tool from a shelf and begins working on a camera.,working
528,4CAHN,Kitchen,1TZV,A person is cooking food in a pot on the stove. The person grabs something out of the refrigerator and starts pouring it into the pot.,pouring
529,ZFZEN,Bedroom,FNK4,A person is awakening from their bed. The person goes to the wardrobe and finds clothes then begins dressing. They then leave through the doorway.,dressing
531,76DE2,Bathroom,PO5L,"A person stands in the bathroom, watching something on their laptop which sits on a table. The person begins laughing.",laughing
532,XPOKK,Living room,WQ8Z,"A person looks at a picture, throws a shoe, then starts drinking.",drinking
533,H5ZG9,Kitchen,HR43,A person takes a sandwich out of the refrigerator and begins eating it while cooking something on the stove.,eating
534,JFSJF,Laundry room,5LWB,A person is sitting on a chair in a laundry room.  The person is reading a book.  Another person walks into the laundry room and starts undressing while talking on the phone.,undressing
535,VT64S,Home Office / Study (A room in a house used for work),YMXV,"A person takes a box of food from the table, and begins eating it.",eating
536,D8YOL,Living room,4I2W,A person is seen working on their laptop. They begin laughing as they draw their eyes to a nearby television.,laughing
537,R2VY3,Kitchen,KL48,"A person is seen lying their sandwich on a plate. They begin walking up to the door and reach for the doorknob, opening it.",walking
538,DYWR1,Living room,XXN8,A person is smiling as they look at their camera at the table. They notice their shoes are untied and bend down to tie them but begin sneezing.,sneezing
539,ZAJG5,Bathroom,DXDI,"One person with a stack of clothes starts undressing, laughs, then washes up. A broom is in the bathroom.",undressing
540,LQ0LM,Bathroom,PO5L,"A person sitting on the toilet begins tidying up the area around them.  They stand up, grasping the sink counter to give leverage as they do.  Reaching for the medicine cabinet doorknob, they open it, letting the light from the bathroom shine in.  They take a sandwich out from the cabinet.",tidying
541,U2VK5,Entryway (A hall that is generally located at the entrance of a house),D0RU,Person standing by door with groceries starts smiling and laughing.,smiling
542,YBJJ0,Kitchen,HR43,"A person is standing in their kitchen washing dishes in the sink. The person sneezes, and begins cooking dinner.",cooking
543,JQKR5,Living room,UTMU,A person is sitting on a sofa in their living room while looking at some pictures in a photo album. The person closes the album and starts eating a sandwich.,eating
544,DN0CB,Bathroom,Z68L,"A person grasps the light switch and starts putting on makeup, then finishes by tidying up the room before running out, bag in hand.",putting
545,2ZXJ5,Living room,HJJ4,"A person is sitting on their sofa drinking water, then the person starts sneezing into a pillow.",sneezing
547,4Q3N9,Bedroom,MR42,"As the person walks into the closet smiling, they realized the glass mirror is dirty and starts laughing.",laughing
548,S8TT8,Living room,D0RU,A person walks into the room and starts putting away clothes. They then sit down in a chair.,putting
549,19BHU,Kitchen,H8N1,A person is talking on the phone while they are throwing some trash away.  Then they stop and begin pouring out an old pot of water sitting on the stove.,pouring
551,BB25Z,Bedroom,EIO2,A person is sitting on the bed and smiling. The person begins standing and removing their clothes.,standing
552,IOZ8J,Pantry,PKND,"A person is holding a bag of groceries. Then, turning the light on and sitting in a chair, the person begins putting the groceries in the lower cabinet.",putting
553,VFD5I,Kitchen,KL48,"A person is washing their refrigerator. Then, opening it, the person begins putting away their groceries.",putting
555,DAIN7,Living room,H8N1,A person walks over the shelf and picks up a camera. The person begins watching something on the camera's display screen.,watching
556,NWJER,Bathroom,9PLL,"A person puts a book on the window sill in their bathroom, then starts dressing up.",dressing
557,ES2QH,Bathroom,T7C3,"A person is tidying up near a bathroom window, then starts sneezing and sits in a chair.",sneezing
558,BVGMT,Entryway (A hall that is generally located at the entrance of a house),HJZQ,A person is walking down the hall. They begin tidying the television stand and throwing things in a box.,tidying
559,P1LWC,Dining room,WG9D,"A person walks into the dining room and picks up a glass of water from the desk.  The person takes a drink of water, then puts it down next to a bottle of medicine.  The person grabs a broom and starts tidying up the room.",tidying
560,5XYPL,Pantry,PKND,"A person walks past a table holding a bag of groceries. They drop the groceries, begin laughing, and reach for a nearby broom.",laughing
561,FPODN,Recreation room / Man cave,WQ8Z,Person opens the door to the man cave and places a laptop on the table.  Person then sits down on the couch and begins drinking a beverage before dozing off to sleep.,drinking
562,F1QR1,Bedroom,DXDI,"sneezing, the person wipes their nose with a towel. they begin leaving as they grab the doorknob",leaving
563,YSZVZ,Garage,ID9V,"A person is sitting drinking coffee, then the person starts sneezing into a book.",sneezing
564,G2VOP,Laundry room,C7O9,A person is sneezing as the person stands in the doorway. Then the person moves a chair out of the way and begins tidying up the room.,tidying
565,MURBT,Kitchen,CCI9,One person runs in with a sandwich and groceries. Another person walks in with a broom and starts working.,working
566,FX7ZY,Home Office / Study (A room in a house used for work),BYF9,A person places a box on a table. They begin opening the box. They pull several books out of the box before throwing it to the floor.,opening
567,KBPI3,Home Office / Study (A room in a house used for work),DXDI,"Person is putting blanket on desk, then starts laughing at glass full of water.",laughing
568,DIR8Q,Laundry room,2Q9D,A person throws their phone onto a table. The person smiles and begins tidying some things while looking out a window.,tidying
569,RRHEV,Kitchen,P3TI,"One person starts cooking at the stove, watching it for a while. Then, they grasp a cup of coffee and run out.",cooking
570,FV684,Bathroom,1OHU,A person is checking themselves out and is smiling in the mirror. The person then starts tidying the bathroom counter and starts vacuuming.,tidying
571,JPEQK,Kitchen,QB52,"A person is drinking water out of a sink, then the person starts playing with their phone.",playing
572,AGN7Y,Hallway,ID9V,A person watches television while holding a laptop.  They then begin sneezing.,sneezing
574,UR7C8,Hallway,KFGP,"A person is standing in the doorway. Closing the door, the person takes their shoes off and begins tidying up the room.",tidying
576,YBVUE,Bathroom,XXN8,A person is undressing and putting their clothes on the table. The person begins smiling and laughing as the person does it.,smiling
577,LVJ3U,Home Office / Study (A room in a house used for work),Z68L,A person stands in the room and turns on a light.  Then the person starts running around a chair in circles.,running
578,00ZCA,Living room,I4RP,Person enters the dining room and pulls chairs out from the table.  Person then turns doorknob and closet and opens closet. Person then takes out vacuum and vacuums under the table.  Person then puts chairs back and starts tidying up the dining room table.,tidying
579,7TNGJ,Bathroom,H8N1,A person is seen opening the medicine cabinet. They begin pulling out medicine and eating it. They then walk out the doorway.,pulling
582,987P8,Recreation room / Man cave,HJJ4,A person throws some clothes on the ground. The person then begins undressing by taking off a jacket. Next the person picks up a picture and stares at it.,undressing
583,AHZWF,Bathroom,DXDI,"A person is sitting in the doorway. They stand up, smile very big, and begin pouring their coffee into the bathtub/shower while laughing hysterically.",pouring
584,FI2TP,Home Office / Study (A room in a house used for work),LWUV,"A person in their home office is working on some work on top of the table. They begin to have rampant sneezing, and stop doing what they are doing. They begin standing up while grabbing a blanket in one hand, and a bag in their other hand.",standing
586,TZF0X,Entryway (A hall that is generally located at the entrance of a house),0KZ7,A person walks into an entryway while holding a bag of clothes. The person lays the bag on the floor and starts taking off their shoes.,taking
587,CBLSW,Kitchen,3VLX,"One person walks in and starts tidying up the stove and the sink, which has a dirty glass in it.",tidying
588,DG1A5,Living room,PKND,"A person is running over to the window. Then, holding a sandwich, the person begins sneezing as the person looks out the window.",sneezing
589,NCZOV,Bedroom,ECB2,"A person grasps the doorknob of the door to a closet and opens it, then walks over to a desk and starts working on homework.",working
592,UPUPM,Home Office / Study (A room in a house used for work),PKND,"A person is lying in a pile of clothes in their home office. The person takes a picture of themselves with a camera, then begins throwing the clothes into the corner.",throwing
595,4GCPM,Kitchen,3H6W,"Person is grasping food out of refrigerator, then starts eating it in doorway.",eating
596,9RX96,Stairs,T7C3,"A person is walking down the stairs holding their phone.  When the person reaches the bottom of the stairs, the person picks up a broom and begins tidying up the floor.  The person walks to the window and looks out, then laughs.",tidying
597,MC34P,Living room,QB52,A person sits at a table doing homework.  They pick up their phone next to a glass and begin playing a video game.,playing
599,GUCB4,Dining room,P6LJ,A person pours water into a glass and starts drinking while sitting at a table set with food and dishes.,drinking
600,AYF5C,Closet / Walk-in closet / Spear closet,8718,"One person plays with the light switch and smiles, then opens up some folded clothes and starts getting dressed.",getting
601,1EX1G,Laundry room,0KZ7,A person is seen holding the doorknob but then pulls out their phone. They begin smiling and watching their phone.,smiling
602,F8HLI,Living room,3H6W,"A person is playing with their laptop on a sofa, then the person gets up and starts running.",running
603,B8JAF,Kitchen,6RE8,A person is opening the wardrobe door. Then the person walks to the sink and begins washing the dishes.,washing
